Initial Position	Final Position	Reflection Count
0.00,0.00	3.66,2.47	5
0.00,0.00	-2.37,2.49	5
0.00,0.00	-2.03,-1.42	5
0.00,0.00	-4.07,2.49	5
0.00,0.00	2.65,-0.40	5
0.00,0.00	0.39,-4.32	5
0.00,0.00	4.28,2.44	5
0.00,0.00	-0.25,-4.52	5
0.00,0.00	0.11,2.48	5
0.00,0.00	1.44,-2.41	5
0.00,0.00	-4.26,2.42	5
0.00,0.00	-0.62,2.47	5
0.00,0.00	4.21,2.47	5
0.00,0.00	2.92,0.16	5
0.00,0.00	3.15,0.49	5
0.00,0.00	1.98,-1.51	5
0.00,0.00	-3.74,2.48	5
0.00,0.00	2.10,2.50	5
0.00,0.00	-1.70,-2.02	5
0.00,0.00	0.98,-3.25	5
0.00,0.00	2.71,-0.28	5
0.00,0.00	3.64,1.38	5
0.00,0.00	-2.66,2.50	5
0.00,0.00	2.61,2.48	5
0.00,0.00	-4.24,2.48	5
0.00,0.00	2.23,-1.13	5
0.00,0.00	4.06,2.05	5
0.00,0.00	-3.19,2.49	5
0.00,0.00	2.33,2.47	5
0.00,0.00	-0.92,2.49	5
0.00,0.00	-1.11,2.49	5
0.00,0.00	4.05,2.04	5
0.00,0.00	-1.64,-2.16	5
0.00,0.00	1.85,2.46	5
0.00,0.00	-2.05,-1.45	5
0.00,0.00	2.88,0.00	5
0.00,0.00	0.02,-4.95	5
0.00,0.00	3.65,1.38	5
0.00,0.00	2.85,-0.03	5
0.00,0.00	3.04,0.30	5
0.00,0.00	-2.66,-0.38	5
0.00,0.00	-3.79,1.63	5
0.00,0.00	4.21,2.48	5
0.00,0.00	-2.79,-0.13	5
0.00,0.00	3.77,2.50	5
0.00,0.00	3.07,2.49	5
0.00,0.00	2.96,2.47	5
0.00,0.00	-1.70,-2.00	5
0.00,0.00	2.70,-0.31	5
0.00,0.00	-1.95,-1.56	5
0.00,0.00	0.18,-4.68	5
0.00,0.00	-3.62,1.29	5
0.00,0.00	-1.82,2.48	5
0.00,0.00	-3.91,1.78	5
