Initial Position	Final Position	Reflection Count
3.00,2.00	-2.92,-3.42	5
3.00,2.00	-4.50,-1.62	5
3.00,2.00	-2.99,3.38	5
3.00,2.00	4.41,-1.18	5
3.00,2.00	-4.34,2.30	5
3.00,2.00	-4.50,1.69	5
3.00,2.00	-0.28,4.68	5
3.00,2.00	1.56,-4.26	5
3.00,2.00	3.79,2.48	5
3.00,2.00	2.36,-4.06	5
3.00,2.00	-1.13,-4.84	5
3.00,2.00	-2.11,4.06	5
3.00,2.00	1.51,4.27	5
3.00,2.00	0.38,4.53	5
3.00,2.00	-4.48,1.71	5
3.00,2.00	4.58,-0.79	5
3.00,2.00	-1.64,-4.44	5
3.00,2.00	-4.49,-1.86	5
3.00,2.00	-3.45,-3.01	5
3.00,2.00	3.54,-2.96	5
3.00,2.00	-4.48,0.63	5
3.00,2.00	-0.35,-4.68	5
3.00,2.00	-0.54,-4.74	5
3.00,2.00	-4.49,-1.88	5
3.00,2.00	3.21,-3.72	5
3.00,2.00	-2.61,3.65	5
3.00,2.00	2.17,-4.09	5
3.00,2.00	2.67,-3.97	5
3.00,2.00	-0.85,4.80	5
3.00,2.00	-4.50,1.65	5
3.00,2.00	4.38,-1.25	5
3.00,2.00	-3.84,2.66	5
3.00,2.00	2.56,-4.01	5
3.00,2.00	0.07,-4.57	5
3.00,2.00	3.50,3.09	5
3.00,2.00	4.36,1.28	5
3.00,2.00	-4.02,-2.51	5
3.00,2.00	1.02,-4.38	5
3.00,2.00	-2.75,3.54	5
3.00,2.00	-0.77,4.78	5
3.00,2.00	2.31,-4.07	5
3.00,2.00	-3.28,3.13	5
3.00,2.00	-4.02,-2.54	5
3.00,2.00	4.04,1.95	5
3.00,2.00	0.35,4.52	5
3.00,2.00	-0.39,-4.69	5
3.00,2.00	2.88,3.94	5
3.00,2.00	-4.50,-0.70	5
3.00,2.00	4.30,-1.45	5
3.00,2.00	4.04,-1.94	5
3.00,2.00	4.12,-1.75	5
3.00,2.00	-1.68,-4.40	5
3.00,2.00	-4.49,1.48	5
3.00,2.00	3.14,-3.84	5
3.00,2.00	2.03,-4.13	5
3.00,2.00	2.80,3.96	5
3.00,2.00	2.36,-4.06	5
3.00,2.00	4.88,0.24	5
3.00,2.00	1.20,-4.34	5
3.00,2.00	4.56,0.90	5
3.00,2.00	-3.02,-3.34	5
3.00,2.00	3.99,2.08	5
3.00,2.00	-4.49,-1.28	5
3.00,2.00	-0.89,4.81	5
3.00,2.00	3.93,2.16	5
3.00,2.00	1.55,4.25	5
3.00,2.00	3.67,2.77	5
3.00,2.00	-4.48,0.28	5
3.00,2.00	4.20,-1.64	5
3.00,2.00	3.64,2.72	5
3.00,2.00	4.45,-1.04	5
3.00,2.00	-4.50,1.95	5
3.00,2.00	0.36,-4.51	5
3.00,2.00	2.44,-4.06	5
3.00,2.00	4.23,-1.58	5
3.00,2.00	3.54,-2.99	5
3.00,2.00	1.99,-4.12	5
3.00,2.00	-4.49,1.48	5
3.00,2.00	2.54,-4.03	5
3.00,2.00	-1.34,4.69	5
3.00,2.00	4.84,0.31	5
3.00,2.00	-1.44,-4.56	5
3.00,2.00	-0.03,4.58	5
3.00,2.00	-0.85,4.81	5
3.00,2.00	0.31,-4.55	5
3.00,2.00	-0.72,-4.78	5
3.00,2.00	-2.05,4.10	5
3.00,2.00	1.35,4.29	5
3.00,2.00	0.65,4.46	5
3.00,2.00	4.86,0.29	5
3.00,2.00	-4.50,1.17	5
3.00,2.00	-3.81,-2.71	5
3.00,2.00	-1.35,4.62	5
3.00,2.00	4.39,1.24	5
3.00,2.00	-0.53,-4.74	5
3.00,2.00	-1.15,-4.84	5
3.00,2.00	2.32,4.09	5
3.00,2.00	1.13,4.36	5
3.00,2.00	-4.48,-2.06	5
3.00,2.00	3.64,-2.82	5
3.00,2.00	4.45,1.09	5
3.00,2.00	4.83,0.28	5
3.00,2.00	-1.75,-4.36	5
3.00,2.00	-4.46,-0.20	5
3.00,2.00	-4.50,-0.27	5
3.00,2.00	4.17,-1.66	5
3.00,2.00	3.33,-3.42	5
3.00,2.00	1.90,-4.18	5
3.00,2.00	-1.79,4.28	5
3.00,2.00	1.68,-4.20	5
3.00,2.00	-4.48,0.94	5
3.00,2.00	0.61,-4.48	5
3.00,2.00	4.97,0.01	5
3.00,2.00	-2.04,4.12	5
3.00,2.00	-4.25,2.36	5
3.00,2.00	0.89,4.41	5
3.00,2.00	1.72,4.22	5
3.00,2.00	2.55,-4.03	5
3.00,2.00	0.38,-40.16	2
3.00,2.00	3.20,3.66	5
3.00,2.00	-0.81,4.80	5
3.00,2.00	3.30,3.50	5
3.00,2.00	3.83,-2.38	5
3.00,2.00	-4.50,1.99	5
3.00,2.00	4.37,-1.21	5
3.00,2.00	-1.56,-4.50	5
3.00,2.00	-0.41,4.71	5
3.00,2.00	4.42,-1.12	5
3.00,2.00	-3.40,3.03	5
3.00,2.00	-1.16,-4.80	5
3.00,2.00	-13.04,-39.55	1
3.00,2.00	-4.32,2.29	5
3.00,2.00	4.26,-1.51	5
3.00,2.00	2.13,4.09	5
3.00,2.00	4.76,0.41	5
3.00,2.00	3.43,3.26	5
3.00,2.00	4.40,-1.18	5
3.00,2.00	-4.47,0.44	5
3.00,2.00	-1.60,-4.46	5
3.00,2.00	-37.07,13.66	2
3.00,2.00	-3.77,2.71	5
3.00,2.00	-4.47,1.51	5
3.00,2.00	4.35,-1.24	5
3.00,2.00	4.70,0.56	5
3.00,2.00	3.78,2.52	5
3.00,2.00	-1.41,-4.61	5
3.00,2.00	3.84,-2.33	5
3.00,2.00	-4.47,-0.28	5
3.00,2.00	3.82,-2.40	5
3.00,2.00	-1.99,4.17	5
3.00,2.00	4.90,0.15	5
3.00,2.00	-4.50,-0.18	5
3.00,2.00	-3.66,2.82	5
3.00,2.00	3.00,3.91	5
3.00,2.00	1.12,4.35	5
3.00,2.00	-3.04,-3.30	5
3.00,2.00	3.66,-2.68	5
3.00,2.00	-1.16,4.79	5
3.00,2.00	2.02,-4.14	5
3.00,2.00	4.47,-1.07	5
3.00,2.00	4.79,-0.40	5
3.00,2.00	-3.33,-3.06	5
3.00,2.00	-4.05,2.51	5
3.00,2.00	1.49,-4.26	5
3.00,2.00	-4.50,1.99	5
3.00,2.00	0.12,4.56	5
3.00,2.00	3.26,-3.58	5
3.00,2.00	3.67,2.76	5
3.00,2.00	3.38,-3.31	5
3.00,2.00	-4.48,0.72	5
3.00,2.00	3.36,3.40	5
3.00,2.00	-4.46,0.88	5
3.00,2.00	2.50,-4.01	5
3.00,2.00	-4.49,0.31	5
3.00,2.00	-0.52,4.73	5
3.00,2.00	1.69,4.20	5
3.00,2.00	4.06,1.88	5
3.00,2.00	4.61,0.75	5
3.00,2.00	-4.50,-2.10	5
3.00,2.00	-4.50,-0.29	5
3.00,2.00	-4.49,1.71	5
3.00,2.00	3.87,2.34	5
3.00,2.00	-3.50,-2.97	5
3.00,2.00	-4.49,0.66	5
3.00,2.00	-4.50,1.97	5
3.00,2.00	-3.42,2.98	5
3.00,2.00	-3.67,2.83	5
3.00,2.00	0.32,4.54	5
3.00,2.00	-4.49,-1.11	5
3.00,2.00	4.33,1.38	5
3.00,2.00	2.10,-4.10	5
3.00,2.00	-2.26,-3.94	5
3.00,2.00	-1.33,-4.68	5
3.00,2.00	0.72,-4.45	5
3.00,2.00	-3.56,-2.90	5
3.00,2.00	1.09,4.37	5
3.00,2.00	1.90,-4.17	5
3.00,2.00	0.61,4.48	5
3.00,2.00	4.68,-0.62	5
3.00,2.00	3.69,2.67	5
3.00,2.00	-1.93,4.17	5
3.00,2.00	4.04,1.97	5
3.00,2.00	-3.83,-2.70	5
3.00,2.00	4.25,-1.51	5
3.00,2.00	-4.42,2.21	5
3.00,2.00	-4.48,-0.17	5
3.00,2.00	3.84,2.41	5
3.00,2.00	1.80,-4.18	5
3.00,2.00	-4.47,0.88	5
3.00,2.00	-4.50,-1.40	5
3.00,2.00	-4.50,-2.05	5
3.00,2.00	1.22,4.32	5
3.00,2.00	-3.84,-2.69	5
3.00,2.00	-4.35,2.27	5
3.00,2.00	3.51,-3.02	5
3.00,2.00	1.18,-4.34	5
3.00,2.00	-4.44,-2.17	5
3.00,2.00	3.52,-3.04	5
3.00,2.00	-1.45,4.58	5
3.00,2.00	0.50,-4.48	5
3.00,2.00	4.48,-1.04	5
3.00,2.00	4.67,0.65	5
3.00,2.00	4.52,-0.93	5
3.00,2.00	-3.56,-2.88	5
3.00,2.00	-3.06,3.30	5
3.00,2.00	-4.36,2.23	5
3.00,2.00	0.09,4.60	5
3.00,2.00	-4.50,-2.13	5
3.00,2.00	3.28,-3.45	5
3.00,2.00	-0.12,-4.63	5
3.00,2.00	4.86,-0.25	5
3.00,2.00	3.67,2.71	5
3.00,2.00	-1.78,4.30	5
3.00,2.00	-4.47,1.71	5
3.00,2.00	3.90,-2.21	5
3.00,2.00	-4.49,-0.56	5
3.00,2.00	0.13,-4.57	5
3.00,2.00	4.26,-1.45	5
3.00,2.00	0.63,4.45	5
3.00,2.00	0.74,-4.43	5
3.00,2.00	-4.22,2.39	5
3.00,2.00	-0.92,4.82	5
3.00,2.00	-1.47,4.55	5
3.00,2.00	-1.32,-4.68	5
3.00,2.00	1.94,-4.18	5
3.00,2.00	3.51,3.05	5
3.00,2.00	-4.50,1.15	5
3.00,2.00	3.41,3.28	5
3.00,2.00	-1.46,4.59	5
3.00,2.00	-4.48,-1.74	5
3.00,2.00	-0.90,-4.79	5
3.00,2.00	2.71,4.00	5
3.00,2.00	4.10,1.78	5
3.00,2.00	4.16,1.66	5
3.00,2.00	-4.48,-1.15	5
3.00,2.00	3.58,-2.92	5
3.00,2.00	-0.52,-4.72	5
3.00,2.00	3.96,2.07	5
3.00,2.00	-4.46,2.16	5
3.00,2.00	-0.02,-4.62	5
3.00,2.00	-2.34,3.86	5
3.00,2.00	4.18,-1.71	5
3.00,2.00	-4.47,-1.82	5
3.00,2.00	4.70,-0.57	5
3.00,2.00	1.67,4.20	5
3.00,2.00	-4.46,-0.45	5
3.00,2.00	0.67,-4.45	5
3.00,2.00	-4.47,0.26	5
3.00,2.00	-4.48,1.73	5
3.00,2.00	3.11,3.90	5
3.00,2.00	4.93,0.09	5
3.00,2.00	4.62,0.75	5
3.00,2.00	0.86,-4.42	5
3.00,2.00	-4.48,-0.96	5
3.00,2.00	4.16,-1.70	5
3.00,2.00	4.30,1.45	5
3.00,2.00	-4.48,0.72	5
3.00,2.00	3.39,3.32	5
3.00,2.00	-4.48,-1.77	5
3.00,2.00	3.80,-2.42	5
3.00,2.00	10.18,-46.98	1
3.00,2.00	-4.50,1.59	5
3.00,2.00	4.85,0.26	5
3.00,2.00	-4.50,1.16	5
3.00,2.00	-3.93,-2.61	5
3.00,2.00	-1.53,-4.49	5
3.00,2.00	3.68,2.69	5
3.00,2.00	-32.60,23.04	2
3.00,2.00	-4.49,-1.75	5
3.00,2.00	-1.20,-4.79	5
3.00,2.00	-3.65,2.85	5
3.00,2.00	1.84,4.18	5
3.00,2.00	-3.20,3.20	5
3.00,2.00	3.93,2.20	5
3.00,2.00	2.35,-4.07	5
3.00,2.00	0.32,-4.54	5
3.00,2.00	2.19,-4.10	5
3.00,2.00	-2.49,3.75	5
3.00,2.00	-2.49,-3.72	5
3.00,2.00	-4.50,1.87	5
3.00,2.00	4.35,1.30	5
3.00,2.00	2.27,-4.08	5
3.00,2.00	3.26,-3.58	5
