èâä˙à íu	ç≈èIà íu	îΩéÀâÒêî
2.50,2.50	-0.03,1.05	5
2.50,2.50	6.79,-0.07	5
2.50,2.50	4.91,-0.01	5
2.50,2.50	8.98,-0.01	5
2.50,2.50	5.38,-0.08	5
2.50,2.50	2.25,-0.01	5
2.50,2.50	2.67,-0.04	5
2.50,2.50	10.10,1.99	5
2.50,2.50	2.24,5.01	5
2.50,2.50	-0.02,2.69	5
2.50,2.50	9.84,5.07	5
2.50,2.50	0.48,-0.01	5
2.50,2.50	10.06,2.34	5
2.50,2.50	2.69,-0.03	5
2.50,2.50	9.22,-0.06	5
2.50,2.50	9.70,-0.07	5
2.50,2.50	2.08,5.05	5
2.50,2.50	-0.05,0.41	5
2.50,2.50	5.12,5.03	5
2.50,2.50	10.01,2.53	5
2.50,2.50	7.14,-0.04	5
2.50,2.50	6.19,5.01	5
2.50,2.50	4.91,-0.01	5
2.50,2.50	10.02,1.57	5
2.50,2.50	5.54,5.08	5
2.50,2.50	7.69,-0.01	5
2.50,2.50	2.75,5.10	5
2.50,2.50	5.12,5.03	5
2.50,2.50	-0.03,1.81	5
2.50,2.50	3.80,5.05	5
2.50,2.50	7.84,-0.00	5
2.50,2.50	0.22,-0.05	5
2.50,2.50	10.07,4.83	5
2.50,2.50	6.07,5.07	5
2.50,2.50	-0.06,1.68	5
2.50,2.50	8.45,-0.01	5
2.50,2.50	6.77,5.06	5
2.50,2.50	5.42,5.06	5
2.50,2.50	5.14,-0.08	5
2.50,2.50	-0.09,3.83	5
2.50,2.50	-0.10,2.15	5
2.50,2.50	5.13,5.08	5
2.50,2.50	5.82,5.03	5
2.50,2.50	1.70,5.03	5
2.50,2.50	9.22,-0.06	5
2.50,2.50	-0.02,3.37	5
2.50,2.50	-0.02,3.96	5
2.50,2.50	10.10,3.76	5
2.50,2.50	10.06,0.85	5
2.50,2.50	0.07,-0.07	5
2.50,2.50	1.73,5.02	5
2.50,2.50	1.87,5.02	5
2.50,2.50	3.73,5.02	5
2.50,2.50	8.88,-0.00	5
2.50,2.50	10.09,4.80	5
2.50,2.50	8.23,-0.08	5
2.50,2.50	1.98,-0.07	5
2.50,2.50	1.14,5.05	5
2.50,2.50	7.84,5.00	5
2.50,2.50	-0.00,4.98	5
2.50,2.50	10.06,3.76	5
2.50,2.50	4.08,-0.00	5
2.50,2.50	1.91,-0.01	5
2.50,2.50	5.20,5.01	5
2.50,2.50	5.85,-0.03	5
