èâä˙à íu	ç≈èIà íu	îΩéÀâÒêî
2.50,1.25	9.18,5.00	5
2.50,1.25	-0.08,1.72	5
2.50,1.25	7.59,5.07	5
2.50,1.25	2.58,-0.05	5
2.50,1.25	6.29,5.00	5
2.50,1.25	4.25,-0.07	5
2.50,1.25	7.59,-0.08	5
2.50,1.25	-0.05,1.39	5
2.50,1.25	5.85,5.00	5
2.50,1.25	3.97,-0.05	5
2.50,1.25	2.40,5.00	5
2.50,1.25	5.91,-0.03	5
2.50,1.25	5.97,5.00	5
2.50,1.25	10.05,0.92	5
2.50,1.25	10.04,0.23	5
2.50,1.25	10.04,1.83	5
2.50,1.25	3.98,-0.08	5
2.50,1.25	4.28,-0.05	5
2.50,1.25	-0.04,1.11	5
2.50,1.25	5.41,5.03	5
2.50,1.25	5.22,-0.05	5
2.50,1.25	4.28,-0.04	5
2.50,1.25	10.10,0.51	5
2.50,1.25	6.86,-0.01	5
2.50,1.25	3.74,-0.08	5
2.50,1.25	9.56,5.03	5
2.50,1.25	6.60,-0.05	5
2.50,1.25	1.46,5.05	5
2.50,1.25	10.07,0.49	5
2.50,1.25	-0.07,1.41	5
2.50,1.25	-0.09,4.75	5
2.50,1.25	-0.07,2.96	5
2.50,1.25	-0.01,0.19	5
2.50,1.25	7.41,5.01	5
2.50,1.25	7.73,5.07	5
2.50,1.25	8.56,-0.02	5
2.50,1.25	9.63,5.09	5
2.50,1.25	10.06,1.99	5
2.50,1.25	-0.05,0.45	5
2.50,1.25	2.17,5.02	5
2.50,1.25	4.09,5.06	5
2.50,1.25	10.05,0.56	5
2.50,1.25	10.03,3.36	5
2.50,1.25	10.05,4.10	5
2.50,1.25	7.68,-0.02	5
2.50,1.25	9.05,-0.09	5
2.50,1.25	0.40,-0.03	5
2.50,1.25	9.43,-0.06	5
2.50,1.25	1.90,-0.01	5
2.50,1.25	10.04,5.06	6
2.50,1.25	4.93,5.06	5
2.50,1.25	1.00,-0.00	5
2.50,1.25	7.29,5.08	5
2.50,1.25	6.59,5.04	5
2.50,1.25	-0.09,2.27	5
2.50,1.25	1.85,-0.05	5
2.50,1.25	1.95,5.02	5
2.50,1.25	2.25,5.01	5
2.50,1.25	10.06,3.80	5
2.50,1.25	7.90,5.05	5
2.50,1.25	7.94,5.04	5
2.50,1.25	4.19,5.05	5
2.50,1.25	2.46,5.05	5
2.50,1.25	10.02,1.25	5
2.50,1.25	-0.05,1.53	5
2.50,1.25	10.08,1.34	5
2.50,1.25	8.90,-0.09	5
2.50,1.25	5.63,5.01	5
2.50,1.25	10.10,1.12	5
2.50,1.25	1.60,5.07	5
2.50,1.25	10.05,4.80	5
2.50,1.25	-0.00,1.55	5
2.50,1.25	2.50,5.08	5
2.50,1.25	1.19,-0.03	5
2.50,1.25	10.06,4.70	5
2.50,1.25	3.99,-0.07	5
