Initial Position	Final Position	Reflection Count
1.00,1.50	-0.05,3.05	5
1.00,1.50	3.95,-0.05	5
1.00,1.50	1.65,5.03	5
1.00,1.50	3.83,-0.09	5
1.00,1.50	3.84,5.01	5
1.00,1.50	0.81,5.02	5
1.00,1.50	8.56,5.01	5
1.00,1.50	3.40,-0.06	5
1.00,1.50	10.03,4.35	5
1.00,1.50	1.19,5.00	5
1.00,1.50	3.46,5.01	5
1.00,1.50	9.35,-0.01	5
1.00,1.50	9.99,-0.01	5
1.00,1.50	4.99,-0.07	5
1.00,1.50	10.00,3.10	5
1.00,1.50	7.83,-0.04	5
1.00,1.50	10.03,1.09	5
1.00,1.50	8.86,-0.00	5
1.00,1.50	7.89,-0.03	5
1.00,1.50	8.30,5.04	5
1.00,1.50	3.94,-0.05	5
1.00,1.50	2.61,-0.04	5
1.00,1.50	5.66,5.03	5
1.00,1.50	9.64,5.04	5
1.00,1.50	1.15,5.07	5
1.00,1.50	7.41,5.08	5
1.00,1.50	8.73,-0.00	5
1.00,1.50	10.00,4.62	5
1.00,1.50	3.56,5.02	5
1.00,1.50	9.49,-0.01	5
1.00,1.50	10.01,2.03	5
1.00,1.50	1.65,5.06	5
1.00,1.50	-0.07,1.33	5
1.00,1.50	1.16,-0.09	5
1.00,1.50	-0.09,4.70	5
1.00,1.50	-0.07,2.13	5
1.00,1.50	5.85,5.03	5
1.00,1.50	6.46,5.07	5
1.00,1.50	10.02,1.91	5
1.00,1.50	1.79,5.06	5
1.00,1.50	3.43,-0.04	5
1.00,1.50	10.10,2.22	5
1.00,1.50	-0.02,3.03	5
1.00,1.50	6.82,5.03	5
1.00,1.50	7.50,-0.05	5
1.00,1.50	7.34,5.03	5
1.00,1.50	2.39,-0.07	5
1.00,1.50	-0.10,1.60	5
1.00,1.50	10.00,4.58	5
1.00,1.50	1.38,5.10	5
1.00,1.50	7.67,-0.03	5
1.00,1.50	0.89,5.08	5
1.00,1.50	5.35,-0.04	5
1.00,1.50	10.02,4.25	5
1.00,1.50	6.89,-0.02	5
1.00,1.50	5.25,5.02	5
1.00,1.50	8.04,5.01	5
1.00,1.50	8.38,5.00	5
1.00,1.50	1.44,-0.02	5
1.00,1.50	-0.02,2.69	5
1.00,1.50	9.96,-0.03	5
1.00,1.50	4.12,-0.06	5
1.00,1.50	4.64,-0.03	5
1.00,1.50	5.34,-0.04	5
1.00,1.50	3.39,5.08	5
1.00,1.50	2.39,-0.07	5
1.00,1.50	-0.09,1.59	5
1.00,1.50	-0.06,0.08	5
1.00,1.50	10.04,1.58	5
1.00,1.50	-0.01,3.97	5
1.00,1.50	1.68,-0.08	5
1.00,1.50	2.46,5.03	5
1.00,1.50	1.49,5.02	5
1.00,1.50	9.30,-0.08	5
1.00,1.50	1.29,5.06	5
1.00,1.50	5.54,-0.01	5
1.00,1.50	10.10,2.39	5
1.00,1.50	10.04,2.14	5
1.00,1.50	10.02,0.07	5
1.00,1.50	10.08,0.47	5
1.00,1.50	6.86,5.02	5
1.00,1.50	10.02,2.89	5
1.00,1.50	10.04,3.61	5
1.00,1.50	8.01,5.02	5
1.00,1.50	9.08,-0.02	5
1.00,1.50	-0.08,1.59	5
1.00,1.50	-0.10,0.55	5
1.00,1.50	8.72,-0.01	5
1.00,1.50	9.09,-0.01	5
1.00,1.50	2.26,-0.10	5
1.00,1.50	-0.06,5.03	6
1.00,1.50	10.10,2.18	5
1.00,1.50	10.08,3.72	5
1.00,1.50	10.01,4.68	5
1.00,1.50	-0.10,2.32	5
1.00,1.50	-0.10,3.01	5
1.00,1.50	10.09,0.17	5
1.00,1.50	8.64,5.06	5
1.00,1.50	2.23,-0.01	5
1.00,1.50	2.27,5.05	5
1.00,1.50	0.82,-0.10	5
1.00,1.50	8.37,-0.07	5
1.00,1.50	0.92,5.03	5
1.00,1.50	8.09,5.05	5
1.00,1.50	-0.10,1.87	5
1.00,1.50	-0.09,1.67	5
1.00,1.50	-0.08,1.00	5
1.00,1.50	2.91,5.01	5
1.00,1.50	1.83,5.10	5
1.00,1.50	-0.02,2.90	5
1.00,1.50	2.57,-0.07	5
1.00,1.50	2.60,-0.00	5
1.00,1.50	7.86,-0.01	5
1.00,1.50	9.37,-0.05	5
1.00,1.50	-0.01,0.53	5
1.00,1.50	1.46,5.06	5
1.00,1.50	2.14,5.02	5
1.00,1.50	5.71,5.03	5
1.00,1.50	9.29,-0.01	5
1.00,1.50	10.04,0.39	5
1.00,1.50	3.04,-0.03	5
1.00,1.50	5.32,5.06	5
1.00,1.50	-0.07,0.59	5
1.00,1.50	1.66,-0.10	5
1.00,1.50	3.02,5.01	5
1.00,1.50	-0.02,4.45	5
1.00,1.50	8.64,5.06	5
1.00,1.50	8.36,5.03	5
1.00,1.50	10.01,3.02	5
1.00,1.50	-0.01,0.66	5
1.00,1.50	5.03,-0.02	5
1.00,1.50	1.65,5.01	5
1.00,1.50	-0.07,4.61	5
1.00,1.50	10.01,-0.02	5
1.00,1.50	-0.06,1.79	5
1.00,1.50	1.88,5.05	5
1.00,1.50	6.38,5.03	5
1.00,1.50	10.08,4.39	5
1.00,1.50	-0.08,0.61	5
1.00,1.50	9.74,5.07	5
1.00,1.50	10.02,1.32	5
1.00,1.50	-0.04,2.51	5
1.00,1.50	10.05,2.37	5
1.00,1.50	10.08,3.22	5
1.00,1.50	9.70,-0.08	5
1.00,1.50	-0.10,1.05	5
1.00,1.50	9.42,5.08	5
1.00,1.50	5.04,5.06	5
1.00,1.50	1.24,-0.10	5
1.00,1.50	1.61,5.10	5
1.00,1.50	-0.04,4.53	5
1.00,1.50	0.33,5.02	5
1.00,1.50	5.60,5.04	5
1.00,1.50	3.32,-0.03	5
1.00,1.50	6.75,5.01	5
1.00,1.50	-0.04,1.63	5
1.00,1.50	5.87,5.01	5
1.00,1.50	7.87,-0.05	5
1.00,1.50	6.21,5.02	5
1.00,1.50	7.42,5.00	5
1.00,1.50	-0.10,0.94	5
1.00,1.50	-0.00,0.96	5
1.00,1.50	-0.09,4.44	5
1.00,1.50	3.55,-0.04	5
1.00,1.50	-0.03,1.23	5
1.00,1.50	-0.10,1.53	5
1.00,1.50	4.06,-0.02	5
1.00,1.50	5.25,-0.01	5
1.00,1.50	9.27,5.05	5
1.00,1.50	8.10,-0.03	5
1.00,1.50	2.06,5.04	5
1.00,1.50	1.67,5.01	5
1.00,1.50	9.95,-0.01	5
1.00,1.50	-0.09,4.64	5
1.00,1.50	2.60,5.02	5
1.00,1.50	5.86,5.02	5
1.00,1.50	6.13,-0.09	5
1.00,1.50	-0.10,1.84	5
1.00,1.50	6.87,5.06	5
1.00,1.50	-0.10,1.92	5
1.00,1.50	7.84,-0.03	5
1.00,1.50	5.02,-0.02	5
1.00,1.50	4.07,5.07	5
1.00,1.50	-0.10,3.02	5
1.00,1.50	3.42,5.08	5
1.00,1.50	4.11,-0.06	5
1.00,1.50	10.01,4.10	5
1.00,1.50	-0.03,1.09	5
1.00,1.50	5.92,5.05	5
1.00,1.50	6.73,-0.05	5
1.00,1.50	1.79,-0.08	5
1.00,1.50	10.02,4.74	5
1.00,1.50	8.36,-0.02	5
1.00,1.50	10.00,3.61	5
1.00,1.50	6.54,-0.08	5
